gene	transcript	exper_rep1	exper_rep2	exper_rep3	control_rep1	control_rep2	control_rep3
AK212155	uc029wnt.1	0.00	0.00	0.00	0.00	0.00	0.00
Sp2	uc007ldf.1,uc007ldg.1	52.00	47.00	36.00	99.00	53.00	66.00
AK051368	uc009coj.1	4.39	1.11	0.00	1.10	0.00	0.00
Ubiad1	uc008vup.1	121.00	125.00	65.00	134.00	95.00	111.00
Src	uc008npa.1,uc008npb.1,uc012cia.1	21.00	35.00	20.00	43.00	22.00	32.00
Racgap1	uc007xpx.2,uc007xpy.2,uc007xpz.2	9.00	20.00	11.00	14.00	10.00	7.00
DQ696825	uc009eaq.1	0.00	0.00	0.00	0.00	0.00	0.00
9530026P05Rik	uc009czg.2,uc009czh.2,uc012epf.1,uc012epg.1,uc012eph.1	3.00	5.00	5.00	7.97	4.00	1.09
Elf1	uc007utb.1,uc007utc.1,uc007utd.1	152.00	145.00	83.00	544.35	316.00	296.00
X05732	uc007tro.3	0.00	0.00	0.00	0.00	0.00	0.00
AK006455	uc007qwp.1	0.00	3.00	0.00	0.00	0.00	0.00
Gm20604	uc011yqq.1	59.28	67.83	59.75	142.91	96.51	70.24
AK076987	uc008rvd.1	8.00	11.00	3.00	10.00	2.00	7.00
Phyh	uc008ifd.2	46759.76	45876.04	20827.98	31281.10	23101.29	23092.97
Olfr503	uc009jcn.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr823	uc007hrd.1	0.00	0.00	0.00	0.00	0.00	0.00
AI837181	uc008gda.2,uc008gdb.2	243.00	355.00	121.00	327.00	184.00	251.00
Sigirr	uc009kjk.1,uc009kjl.1,uc009kjm.1	232.00	362.00	151.00	321.00	171.53	222.00
Bpifa2	uc008nis.1	0.00	0.00	0.00	0.00	0.00	0.00
Dusp15	uc008ngu.2,uc012cgl.1,uc012cgm.1	0.00	0.00	0.00	0.00	0.00	0.00
2310040G24Rik	uc009csa.1,uc029vxg.1	27.00	32.00	27.00	25.00	21.88	16.00
DQ691575	uc007qlf.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ726503	uc029vmv.1	0.00	0.00	0.00	0.00	0.00	0.00
Sms	uc009urz.1	80.00	121.07	61.00	147.66	112.00	67.00
3425401B19Rik	uc007szg.2	0.00	1.01	37.08	0.00	0.00	0.00
Gm595	uc009tcu.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr228	uc008kml.1	0.00	0.00	0.00	0.00	0.00	0.00
FJ541084	uc029xtn.1,uc029xuj.1,uc029xvg.1,uc029xwc.1,uc029xwy.1,uc029xyl.1,uc029xzi.1,uc029yai.1,uc029yby.1,uc029ycu.1,uc029ydt.1	0.00	0.00	0.00	0.00	0.00	0.00
Pfdn2	uc007doc.1	275.00	382.76	173.36	253.93	221.00	199.00
AK050069	uc007yvh.1	247.00	221.00	118.00	188.00	146.00	140.90
Rassf3	uc007hfs.1	1069.00	1072.46	541.10	2012.42	1104.76	1549.48
Cntnap5b	uc007cfy.1,uc007cfz.1	0.00	0.00	0.00	0.00	0.00	0.00
Vmn1r37	uc009cet.1	0.00	0.00	0.00	0.00	0.00	0.00
